epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5725,2.84032,5.85595,1.6292,0,0,0,0,2.47646,5.331,1.71887,2.25e-05,2.25e-05,2.25e-05
2,14.3622,2.35993,5.55684,1.34631,0,0,0,0,2.08274,5.25863,1.33428,4.73433e-05,4.73433e-05,4.73433e-05
3,18.8063,2.14197,5.27828,1.20071,0,0,0,0,1.87059,5.08505,1.15023,7.20215e-05,7.20215e-05,7.20215e-05
4,22.9958,1.99377,5.02028,1.09148,0,0,0,0,1.67479,4.97636,1.05601,9.65348e-05,9.65348e-05,9.65348e-05
5,26.1667,1.93955,4.65249,1.04862,0.02163,0.01703,0.01451,0.00892,1.60376,4.82223,1.03489,0.000120883,0.000120883,0.000120883
6,29.3417,1.86435,4.31388,1.05892,0.01749,0.21282,0.0252,0.01283,1.61432,4.53806,1.0303,0.000145066,0.000145066,0.000145066
7,33.2751,1.87837,4.13504,1.03225,0.02547,0.42728,0.04303,0.02104,1.63602,4.23275,1.03661,0.000169085,0.000169085,0.000169085
8,37.7306,1.77471,3.87582,1.01183,0.01958,0.5148,0.04565,0.02455,1.60794,3.9504,1.02389,0.000192938,0.000192938,0.000192938
9,40.9924,1.77243,3.71224,1.02762,0.02122,0.6191,0.05027,0.02872,1.64015,3.69149,1.02986,0.000216626,0.000216626,0.000216626
10,44.1149,1.76649,3.57839,1.02094,0.02178,0.68909,0.05583,0.03149,1.58381,3.50458,1.01514,0.000240149,0.000240149,0.000240149
11,47.1307,1.70788,3.41621,1.0191,0.02113,0.73501,0.05603,0.03084,1.58816,3.37537,1.0191,0.00024175,0.00024175,0.00024175
12,52.1389,1.71867,3.34788,1.01686,0.02028,0.76457,0.06131,0.03504,1.58271,3.25989,1.02248,0.000240925,0.000240925,0.000240925
13,55.5446,1.69535,3.31351,1.01028,0.02739,0.78613,0.06649,0.03855,1.58336,3.25063,1.02633,0.0002401,0.0002401,0.0002401
14,58.7071,1.64387,3.22821,1.0086,0.02408,0.82784,0.07093,0.04163,1.58229,3.11096,1.06309,0.000239275,0.000239275,0.000239275
15,61.9268,1.69389,3.23584,1.0048,0.08445,0.62922,0.08607,0.05238,1.56424,3.05777,1.06145,0.00023845,0.00023845,0.00023845
16,66.7115,1.63819,3.07974,1.01398,0.35689,0.13503,0.08269,0.04946,1.55611,3.01579,1.05032,0.000237625,0.000237625,0.000237625
17,70.0258,1.62449,3.01286,0.99531,0.35711,0.15759,0.08528,0.04966,1.56957,2.97507,1.05761,0.0002368,0.0002368,0.0002368
18,73.1132,1.64781,3.01578,0.99489,0.38122,0.12009,0.08214,0.04723,1.55405,2.99889,1.04879,0.000235975,0.000235975,0.000235975
19,76.4274,1.61245,2.93,1.00647,0.42836,0.1085,0.09572,0.05546,1.56482,2.89198,1.04984,0.00023515,0.00023515,0.00023515
20,80.714,1.55164,2.84797,1.00138,0.31251,0.21642,0.12972,0.0803,1.532,2.62705,1.03746,0.000234325,0.000234325,0.000234325
21,84.6291,1.6216,2.85411,1.00603,0.37678,0.17719,0.15177,0.08887,1.54766,2.54874,1.04584,0.0002335,0.0002335,0.0002335
22,87.8269,1.60649,2.78089,1.00438,0.45325,0.20666,0.17062,0.10281,1.52178,2.57899,1.05359,0.000232675,0.000232675,0.000232675
23,91.0846,1.51348,2.70746,0.99794,0.43136,0.22776,0.17482,0.10651,1.54919,2.56579,1.06645,0.00023185,0.00023185,0.00023185
24,97.9046,1.54665,2.67238,0.99826,0.44296,0.21917,0.18853,0.12097,1.5318,2.51678,1.06876,0.000231025,0.000231025,0.000231025
25,101.153,1.54859,2.65164,1.00967,0.44177,0.21902,0.20537,0.13104,1.54944,2.46892,1.0656,0.0002302,0.0002302,0.0002302
26,104.509,1.5105,2.6491,0.99442,0.44554,0.22605,0.2191,0.13716,1.51252,2.47002,1.0387,0.000229375,0.000229375,0.000229375
27,107.917,1.52192,2.59307,0.99966,0.46351,0.22303,0.23402,0.14741,1.48259,2.402,1.03729,0.00022855,0.00022855,0.00022855
28,113.07,1.46907,2.56913,0.96881,0.47163,0.23447,0.26209,0.15939,1.51122,2.29931,1.06382,0.000227725,0.000227725,0.000227725
29,116.59,1.5681,2.55897,0.98518,0.4529,0.24534,0.27134,0.16645,1.52078,2.26489,1.06992,0.0002269,0.0002269,0.0002269
30,119.772,1.51601,2.47094,0.97904,0.4661,0.26651,0.2906,0.18415,1.51143,2.21021,1.05123,0.000226075,0.000226075,0.000226075
31,123.098,1.5002,2.39654,0.99138,0.46551,0.27671,0.28729,0.18769,1.50851,2.17815,1.05928,0.00022525,0.00022525,0.00022525
32,127.826,1.4687,2.42286,0.97845,0.46754,0.30541,0.31312,0.19929,1.50282,2.15627,1.06913,0.000224425,0.000224425,0.000224425
