epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.7331,0.74475,1.20116,1.21746,0.90123,0.89857,0.94302,0.72909,0.80244,0.63494,1.21138,0.00331768,0.00331768,0.00331768
2,146.332,0.62272,0.54076,1.10878,0.9501,0.90254,0.96167,0.7185,0.91845,0.68381,1.37277,0.00662907,0.00662907,0.00662907
3,216.269,0.6893,0.58744,1.14075,0.84427,0.87411,0.89789,0.67942,0.88437,0.76514,1.28136,0.00991845,0.00991845,0.00991845
4,284.79,0.71542,0.61276,1.14857,0.79997,0.88934,0.90343,0.67486,0.86889,0.75256,1.31825,0.009901,0.009901,0.009901
5,354.348,0.71539,0.58071,1.14932,0.9049,0.83959,0.904,0.65549,0.99198,0.81712,1.43802,0.009868,0.009868,0.009868
6,424.089,0.6813,0.55048,1.12906,0.69827,0.91472,0.70117,0.56627,0.68508,0.69915,1.09907,0.009835,0.009835,0.009835
7,492.889,0.66469,0.52701,1.11419,0.97262,0.95635,0.98906,0.81828,0.70098,0.47744,1.09715,0.009802,0.009802,0.009802
8,561.407,0.63849,0.49937,1.10107,0.9546,0.91472,0.9805,0.83197,0.65921,0.4751,1.04411,0.009769,0.009769,0.009769
9,631.672,0.62529,0.48389,1.08937,0.92282,0.96142,0.98494,0.83662,0.65394,0.44421,1.0213,0.009736,0.009736,0.009736
10,700.363,0.60683,0.47112,1.08418,0.98963,0.96845,0.99253,0.84317,0.6452,0.46001,1.0144,0.009703,0.009703,0.009703
11,769.646,0.59738,0.46292,1.07739,0.97823,0.95785,0.98814,0.8509,0.60679,0.45048,1.02046,0.00967,0.00967,0.00967
12,838.569,0.58038,0.44991,1.06967,0.97964,0.96954,0.99188,0.86367,0.60146,0.39948,0.96105,0.009637,0.009637,0.009637
13,907.686,0.5727,0.43874,1.06066,0.98351,0.98071,0.99391,0.85412,0.59108,0.40145,0.97658,0.009604,0.009604,0.009604
14,977.16,0.57176,0.43369,1.05584,0.97889,0.9797,0.99318,0.88115,0.55807,0.38136,0.93243,0.009571,0.009571,0.009571
15,1047.22,0.5673,0.42446,1.05231,0.99175,0.97603,0.99435,0.86337,0.58525,0.36746,0.96842,0.009538,0.009538,0.009538
16,1116.64,0.56353,0.42486,1.05446,0.98925,0.9797,0.99419,0.87993,0.55025,0.36638,0.9261,0.009505,0.009505,0.009505
17,1186.01,0.54143,0.4037,1.03795,0.98972,0.97721,0.99397,0.87891,0.55016,0.35367,0.93913,0.009472,0.009472,0.009472
18,1254.95,0.5432,0.40473,1.04319,0.98573,0.98149,0.99417,0.87943,0.53997,0.38258,0.93895,0.009439,0.009439,0.009439
19,1324.68,0.53427,0.396,1.03474,0.99125,0.98071,0.99424,0.8755,0.55211,0.36701,0.95407,0.009406,0.009406,0.009406
20,1393.71,0.52868,0.38627,1.03614,0.9826,0.97665,0.99323,0.87948,0.57605,0.37493,0.96473,0.009373,0.009373,0.009373
21,1462.3,0.52496,0.38454,1.03682,0.98156,0.98477,0.99421,0.8881,0.53531,0.36698,0.91126,0.00934,0.00934,0.00934
22,1532.46,0.5158,0.37428,1.0275,0.99182,0.98467,0.99456,0.88538,0.53606,0.33477,0.9226,0.009307,0.009307,0.009307
23,1601.27,0.51625,0.37803,1.0299,0.98339,0.98376,0.99395,0.89723,0.52013,0.34167,0.91262,0.009274,0.009274,0.009274
24,1669.79,0.50211,0.3702,1.01596,0.98976,0.98174,0.99397,0.9054,0.49515,0.32355,0.87899,0.009241,0.009241,0.009241
25,1739.3,0.5097,0.36581,1.02524,0.98696,0.97868,0.99377,0.90061,0.49461,0.34873,0.88671,0.009208,0.009208,0.009208
26,1808.24,0.49679,0.36466,1.01972,0.98581,0.98579,0.99435,0.89187,0.52914,0.32862,0.9168,0.009175,0.009175,0.009175
27,1877.54,0.49935,0.36798,1.01869,0.97589,0.98616,0.994,0.88562,0.53146,0.34829,0.91972,0.009142,0.009142,0.009142
28,1945.95,0.49675,0.35991,1.02087,0.99336,0.9797,0.9945,0.88962,0.52088,0.31848,0.8986,0.009109,0.009109,0.009109
29,2015.04,0.49105,0.36083,1.02053,0.98914,0.98883,0.99403,0.89429,0.52318,0.32358,0.90795,0.009076,0.009076,0.009076
30,2084.32,0.49152,0.35234,1.00656,0.9895,0.98883,0.99429,0.90455,0.49276,0.31969,0.87784,0.009043,0.009043,0.009043
31,2152.55,0.48256,0.34733,1.00872,0.98782,0.98786,0.99469,0.90532,0.49734,0.32311,0.88146,0.00901,0.00901,0.00901
32,2221.47,0.48011,0.34279,1.00955,0.98985,0.98982,0.99479,0.91941,0.47268,0.31042,0.85982,0.008977,0.008977,0.008977
33,2291.12,0.48063,0.34424,1.01097,0.98878,0.98459,0.9944,0.9111,0.49177,0.32137,0.86901,0.008944,0.008944,0.008944
34,2359.37,0.48431,0.34694,1.00465,0.99281,0.98579,0.99429,0.90675,0.49696,0.31948,0.8836,0.008911,0.008911,0.008911
35,2428.78,0.47801,0.34247,1.00588,0.99458,0.98579,0.99451,0.91256,0.47891,0.30722,0.87515,0.008878,0.008878,0.008878
36,2498.33,0.46266,0.33543,0.99657,0.99287,0.98957,0.99473,0.91194,0.47966,0.30931,0.88225,0.008845,0.008845,0.008845
37,2566.98,0.46682,0.33059,1.0053,0.99281,0.98112,0.99461,0.91682,0.4708,0.30887,0.8656,0.008812,0.008812,0.008812
38,2636.28,0.4689,0.33077,1.00261,0.98478,0.98883,0.99435,0.91607,0.48059,0.30271,0.87484,0.008779,0.008779,0.008779
39,2705.61,0.46132,0.32497,0.99903,0.98982,0.98696,0.99464,0.91154,0.47791,0.30593,0.8716,0.008746,0.008746,0.008746
40,2774.5,0.45868,0.32853,0.99642,0.99491,0.99169,0.99493,0.91283,0.48724,0.30183,0.87802,0.008713,0.008713,0.008713
41,2844.55,0.45916,0.32112,0.9929,0.9971,0.98985,0.99494,0.92428,0.45175,0.30012,0.84438,0.00868,0.00868,0.00868
42,2913.55,0.45081,0.31898,0.99256,0.9943,0.98883,0.99485,0.9048,0.48799,0.29083,0.88171,0.008647,0.008647,0.008647
43,2983.31,0.44828,0.3197,0.98854,0.99593,0.99284,0.99498,0.91155,0.47817,0.29866,0.878,0.008614,0.008614,0.008614
44,3052.59,0.45702,0.31927,0.99305,0.99641,0.98579,0.9948,0.91158,0.47363,0.32404,0.86523,0.008581,0.008581,0.008581
45,3121.61,0.45051,0.32315,0.99442,0.99456,0.98579,0.99448,0.9224,0.45854,0.28841,0.85934,0.008548,0.008548,0.008548
46,3192,0.44685,0.31276,0.98894,0.99081,0.98464,0.99476,0.91932,0.46634,0.30598,0.86149,0.008515,0.008515,0.008515
47,3261.5,0.44619,0.31242,0.99184,0.99415,0.98477,0.99457,0.92948,0.45043,0.27764,0.85496,0.008482,0.008482,0.008482
48,3331.72,0.44713,0.31628,0.99266,0.99733,0.9868,0.99476,0.90959,0.47696,0.29137,0.87374,0.008449,0.008449,0.008449
49,3402.88,0.44144,0.30974,0.98649,0.99694,0.99222,0.99489,0.92323,0.45633,0.30032,0.84931,0.008416,0.008416,0.008416
50,3472.64,0.44597,0.31397,0.98723,0.99843,0.98579,0.9949,0.91738,0.46401,0.28594,0.86408,0.008383,0.008383,0.008383
